product_category_name_english,customer_city,deal_per_location_category
bed_bath_table,sao paulo,17808
bed_bath_table,rio de janeiro,7837
computers_accessories,belo horizonte,3144
computers_accessories,brasilia,2392
toys,curitiba,1751
consoles_games,campinas,1654
telephony,porto alegre,1612
electronics,salvador,1412
health_beauty,guarulhos,1329
food,sao bernardo do campo,1060
cool_stuff,niteroi,980
computers_accessories,santo andre,891
furniture_decor,osasco,850
health_beauty,santos,820
sports_leisure,goiania,817
health_beauty,sao jose dos campos,781
baby,fortaleza,728
computers_accessories,sorocaba,703
telephony,recife,677
health_beauty,florianopolis,660
sports_leisure,jundiai,656
musical_instruments,ribeirao preto,582
sports_leisure,nova iguacu,503
perfumery,belem,491
fashion_bags_accessories,contagem,484
computers_accessories,barueri,479
,juiz de fora,473
health_beauty,sao goncalo,444
garden_tools,mogi das cruzes,440
fashion_bags_accessories,vitoria,424
health_beauty,piracicaba,414
sports_leisure,uberlandia,408
auto,sao luis,391
watches_gifts,sao jose do rio preto,380
sports_leisure,carapicuiba,376
toys,vila velha,366
computers_accessories,campo grande,360
garden_tools,praia grande,355
watches_gifts,maua,346
computers_accessories,londrina,333
housewares,diadema,330
health_beauty,taboao da serra,329
sports_leisure,indaiatuba,328
diapers_and_hygiene,maringa,317
furniture_decor,serra,314
auto,sao caetano do sul,305
health_beauty,teresina,304
perfumery,taubate,303
cool_stuff,duque de caxias,302
perfumery,joao pessoa,299
office_furniture,bauru,298
air_conditioning,cuiaba,297
health_beauty,joinville,290
auto,petropolis,282
auto,sao carlos,279
computers_accessories,cotia,278
computers_accessories,macae,272
toys,americana,262
garden_tools,guaruja,261
sports_leisure,maceio,260
cool_stuff,campos dos goytacazes,258
garden_tools,suzano,257
office_furniture,volta redonda,251
garden_tools,caxias do sul,251
watches_gifts,aracaju,243
garden_tools,montes claros,239
construction_tools_lights,canoas,233
computers_accessories,santa maria,232
industry_commerce_and_business,natal,230
office_furniture,limeira,223
office_furniture,betim,221
auto,valinhos,216
housewares,uberaba,213
auto,santana de parnaiba,213
housewares,blumenau,213
baby,jacarei,212
watches_gifts,marilia,209
garden_tools,pelotas,208
bed_bath_table,sumare,205
toys,ipatinga,202
office_furniture,franca,199
watches_gifts,sao jose,198
health_beauty,feira de santana,197
health_beauty,itapevi,195
watches_gifts,cascavel,185
toys,rio claro,184
perfumery,atibaia,183
books_general_interest,presidente prudente,181
food,sao vicente,180
garden_tools,itaquaquecetuba,180
audio,araraquara,180
bed_bath_table,embu das artes,176
toys,divinopolis,164
books_general_interest,ponta grossa,163
health_beauty,nova friburgo,163
computers_accessories,aracatuba,163
health_beauty,braganca paulista,160
luggage_accessories,hortolandia,159
watches_gifts,rio das ostras,158
health_beauty,cariacica,157
garden_tools,manaus,156
housewares,sao joao de meriti,155
auto,marica,154
books_technical,governador valadares,152
auto,pocos de caldas,151
toys,pouso alegre,148
baby,novo hamburgo,148
cool_stuff,itu,147
bed_bath_table,paulinia,144
telephony,jaboatao dos guararapes,144
baby,sao jose dos pinhais,143
watches_gifts,sete lagoas,139
stationery,resende,137
perfumery,santa barbara d'oeste,135
watches_gifts,cachoeiro de itapemirim,135
furniture_decor,barra mansa,135
computers_accessories,mage,133
office_furniture,cabo frio,133
agro_industry_and_commerce,rio grande,132
health_beauty,palmas,131
home_construction,teresopolis,129
construction_tools_construction,passo fundo,129
computers_accessories,itajai,129
food,ferraz de vasconcelos,127
furniture_decor,anapolis,127
computers_accessories,chapeco,126
perfumery,porto velho,124
watches_gifts,aparecida de goiania,122
pet_shop,belford roxo,121
watches_gifts,ribeirao pires,120
health_beauty,ribeirao das neves,119
home_appliances,gravatai,119
sports_leisure,balneario camboriu,119
baby,nilopolis,118
musical_instruments,vinhedo,115
cool_stuff,sao leopoldo,115
furniture_decor,franco da rocha,115
garden_tools,cajamar,115
,araras,114
furniture_decor,palhoca,113
watches_gifts,criciuma,113
bed_bath_table,botucatu,113
watches_gifts,santa luzia,112
perfumery,jaragua do sul,111
,itapecerica da serra,109
consoles_games,francisco morato,109
home_confort,caraguatatuba,109
housewares,vicosa,108
construction_tools_construction,itajuba,108
computers_accessories,pindamonhangaba,107
perfumery,itatiba,107
sports_leisure,angra dos reis,107
health_beauty,mogi-guacu,106
baby,itanhaem,106
health_beauty,vitoria da conquista,105
signaling_and_security,guaratingueta,105
construction_tools_construction,patos de minas,104
consoles_games,nova lima,104
sports_leisure,caieiras,104
health_beauty,salto,102
telephony,assis,101
construction_tools_construction,poa,100
books_technical,jandira,100
toys,votorantim,99
health_beauty,varginha,99
fashion_bags_accessories,olinda,98
auto,foz do iguacu,98
fashion_bags_accessories,ananindeua,98
perfumery,mesquita,96
telephony,lages,96
stationery,sao joao da boa vista,95
perfumery,lavras,95
computers_accessories,itabira,95
furniture_decor,birigui,95
toys,teofilo otoni,94
cool_stuff,ourinhos,94
bed_bath_table,lorena,94
electronics,itapetininga,94
auto,rio verde,92
toys,sao roque,91
toys,barbacena,91
fashion_bags_accessories,araxa,91
